cell_id,region_group,center_lat,center_lon,cell_size_km,geojson_file,kelpwatch_csv_file,time_variable,selection_rule,final_filter_after_kelpwatch,kelpwatch_csv_exists,kelpwatch_csv_rows,kelpwatch_has_required_columns,kelpwatch_has_quarter_max,historic_footprint_cells,has_historic_kelp_footprint,passes_initial_filter,passes_robustness_filter_500,n_years_total,n_years_with_positive_kelp,first_positive_kelp_year,last_positive_kelp_year,max_growing_season_kelp_area_m2,mean_growing_season_kelp_area_m2,median_growing_season_kelp_area_m2,p25_growing_season_kelp_area_m2,p75_growing_season_kelp_area_m2,historical_p25_kelp_area_m2,historical_mean_kelp_area_m2,historical_max_kelp_area_m2,latest_year,latest_growing_season_kelp_area_m2,latest_vs_historical_p25,latest_vs_historical_mean_ratio,mean_count_cells_no_clouds_max,min_count_cells_no_clouds_max,mean_cloud_free_fraction,n_missing_or_empty_max_rows,summary_error,passes_exploratory_filter_gt0,passes_main_filter_ge500
cell_240,Central California,35.268085,-120.935106,10,cell_240.geojson,kelpwatch_cell_240.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,1506,true,true,true,42,42,1984,2025,485787,156631.571429,128261,53645.25,252865,53645.25,156631.571429,485787,2025,5061,-48584.25,0.032311,1505.428571,1494,0.999621,0,,true,true
cell_241,Central California,35.268921,-120.8251,10,cell_241.geojson,kelpwatch_cell_241.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,178,true,true,false,42,36,1986,2024,49639,10598.357143,6400.5,852.25,15120.5,852.25,10598.357143,49639,2025,0,-852.25,0,178,178,1,0,,true,false
cell_246,Central California,35.178875,-120.824143,10,cell_246.geojson,kelpwatch_cell_246.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,3089,true,true,true,42,42,1984,2025,204527,83506.52381,71414.5,20574.5,146055.25,20574.5,83506.52381,204527,2025,170615,150040.5,2.043134,3085.595238,3031,0.998898,0,,true,true
cell_247,Central California,35.179606,-120.714262,10,cell_247.geojson,kelpwatch_cell_247.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,2680,true,true,true,42,42,1984,2025,858587,313410.261905,272636,179434.25,443288.25,179434.25,313410.261905,858587,2025,239043,59608.75,0.762716,2596.380952,688,0.968799,0,,true,true
cell_248,Central California,35.180232,-120.604379,10,cell_248.geojson,kelpwatch_cell_248.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,16,true,true,false,42,40,1984,2025,4924,1132.571429,900,465.25,1378.5,465.25,1132.571429,4924,2025,610,144.75,0.538597,15.666667,8,0.979167,0,,true,false
cell_269,Central California,34.729896,-120.600897,10,cell_269.geojson,kelpwatch_cell_269.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,307,true,true,false,42,38,1987,2025,66745,19224,9292,3060.5,30543,3060.5,19224,66745,2025,9665,6604.5,0.502757,307,307,1,0,,true,false
cell_277,Central California,34.549712,-120.599515,10,cell_277.geojson,kelpwatch_cell_277.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,1181,true,true,true,42,42,1984,2025,352647,152849.333333,132880.5,75520.25,257120.5,75520.25,152849.333333,352647,2025,287449,211928.75,1.880604,1181,1181,1,0,,true,true
cell_278,Central California,34.550229,-120.490514,10,cell_278.geojson,kelpwatch_cell_278.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,2680,true,true,true,42,42,1984,2025,780649,339593.738095,329057.5,161317,495869,161317,339593.738095,780649,2025,195385,34068,0.575349,2680,2680,1,0,,true,true
cell_283,Central California,34.460125,-120.489951,10,cell_283.geojson,kelpwatch_cell_283.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,3268,true,true,true,42,42,1984,2025,1148342,432148.833333,322293,174849.25,676107,174849.25,432148.833333,1148342,2025,192193,17343.75,0.444738,3268,3268,1,0,,true,true
cell_284,Central California,34.460539,-120.381074,10,cell_284.geojson,kelpwatch_cell_284.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,9415,true,true,true,42,42,1984,2025,2607145,739651.690476,656379,260347,1130989.25,260347,739651.690476,2607145,2025,666389,406042,0.90095,9415,9415,1,0,,true,true
cell_285,Central California,34.460849,-120.272197,10,cell_285.geojson,kelpwatch_cell_285.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,1519,true,true,true,42,42,1984,2025,397283,122893.142857,108196.5,39338.5,187239,39338.5,122893.142857,397283,2025,177772,138433.5,1.446558,1519,1519,1,0,,true,true
