cell_id,region_group,center_lat,center_lon,cell_size_km,geojson_file,kelpwatch_csv_file,time_variable,selection_rule,final_filter_after_kelpwatch,kelpwatch_csv_exists,kelpwatch_csv_rows,kelpwatch_has_required_columns,kelpwatch_has_quarter_max,historic_footprint_cells,has_historic_kelp_footprint,passes_initial_filter,passes_robustness_filter_500,n_years_total,n_years_with_positive_kelp,first_positive_kelp_year,last_positive_kelp_year,max_growing_season_kelp_area_m2,mean_growing_season_kelp_area_m2,median_growing_season_kelp_area_m2,p25_growing_season_kelp_area_m2,p75_growing_season_kelp_area_m2,historical_p25_kelp_area_m2,historical_mean_kelp_area_m2,historical_max_kelp_area_m2,latest_year,latest_growing_season_kelp_area_m2,latest_vs_historical_p25,latest_vs_historical_mean_ratio,mean_count_cells_no_clouds_max,min_count_cells_no_clouds_max,mean_cloud_free_fraction,n_missing_or_empty_max_rows,summary_error
cell_001,Northern California,39.525053,-124.017028,10,cell_001.geojson,kelpwatch_cell_001.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_074,Northern California,38.203153,-123.03048,10,cell_074.geojson,kelpwatch_cell_074.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,7,true,true,false,42,4,1994,2009,1202,33.928571,0,0,0,0,33.928571,1202,2025,0,,0,6.714286,4,0.959184,0,
cell_075,Northern California,38.205973,-122.916196,10,cell_075.geojson,kelpwatch_cell_075.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_076,Northern California,38.208686,-122.801903,10,cell_076.geojson,kelpwatch_cell_076.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_077,Northern California,38.110317,-123.140968,10,cell_077.geojson,kelpwatch_cell_077.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_078,Northern California,38.113243,-123.02683,10,cell_078.geojson,kelpwatch_cell_078.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_079,Northern California,38.11606,-122.912683,10,cell_079.geojson,kelpwatch_cell_079.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_080,Northern California,38.118769,-122.798528,10,cell_080.geojson,kelpwatch_cell_080.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_081,Northern California,38.020411,-123.13719,10,cell_081.geojson,kelpwatch_cell_081.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_082,Northern California,38.023333,-123.023189,10,cell_082.geojson,kelpwatch_cell_082.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,7,true,true,false,42,27,1984,2025,1170,279.333333,191.5,0,432.75,0,279.333333,1170,2025,95,,0.340095,6.714286,0,0.959184,0,
cell_083,Northern California,38.026147,-122.909179,10,cell_083.geojson,kelpwatch_cell_083.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,2,true,true,false,42,5,1996,2022,515,24.904762,0,0,0,0,24.904762,515,2025,0,,0,1.97619,1,0.988095,0,
cell_084,Northern California,38.028853,-122.795161,10,cell_084.geojson,kelpwatch_cell_084.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,11,true,true,false,42,22,1993,2025,2504,204.071429,23.5,0,177.75,0,204.071429,2504,2025,412,,2.018901,10.952381,10,0.995671,0,
cell_085,Northern California,38.03145,-122.681135,10,cell_085.geojson,kelpwatch_cell_085.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_086,Northern California,37.930505,-123.133421,10,cell_086.geojson,kelpwatch_cell_086.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_087,Northern California,37.933424,-123.019557,10,cell_087.geojson,kelpwatch_cell_087.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_088,Northern California,37.936234,-122.905684,10,cell_088.geojson,kelpwatch_cell_088.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_089,Northern California,37.938937,-122.791803,10,cell_089.geojson,kelpwatch_cell_089.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,154,true,true,false,42,41,1984,2025,41823,9646.785714,7719.5,4029.5,10914.25,4029.5,9646.785714,41823,2025,12873,8843.5,1.334434,151.690476,121,0.985003,0,
cell_090,Northern California,37.941531,-122.677914,10,cell_090.geojson,kelpwatch_cell_090.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,39,true,true,false,42,28,1986,2025,8757,1116.02381,351.5,0,1413.5,0,1116.02381,8757,2025,261,,0.233866,39,39,1,0,
cell_091,Northern California,37.843515,-123.015933,10,cell_091.geojson,kelpwatch_cell_091.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_092,Northern California,37.846322,-122.902197,10,cell_092.geojson,kelpwatch_cell_092.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_093,Northern California,37.849021,-122.788452,10,cell_093.geojson,kelpwatch_cell_093.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_094,Northern California,37.851612,-122.6747,10,cell_094.geojson,kelpwatch_cell_094.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,52,true,true,false,42,34,1984,2025,15543,1688.880952,670,110.25,1743.75,110.25,1688.880952,15543,2025,717,606.75,0.424541,52,52,1,0,
cell_095,Northern California,37.854096,-122.560939,10,cell_095.geojson,kelpwatch_cell_095.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_096,Northern California,37.753605,-123.012319,10,cell_096.geojson,kelpwatch_cell_096.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_097,Northern California,37.756409,-122.898718,10,cell_097.geojson,kelpwatch_cell_097.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_098,Northern California,37.759105,-122.78511,10,cell_098.geojson,kelpwatch_cell_098.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_099,Northern California,37.761693,-122.671493,10,cell_099.geojson,kelpwatch_cell_099.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_100,Northern California,37.764174,-122.557869,10,cell_100.geojson,kelpwatch_cell_100.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_101,Northern California,37.766546,-122.444238,10,cell_101.geojson,kelpwatch_cell_101.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_102,Northern California,37.666496,-122.895248,10,cell_102.geojson,kelpwatch_cell_102.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_103,Northern California,37.669189,-122.781775,10,cell_103.geojson,kelpwatch_cell_103.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_104,Northern California,37.671774,-122.668295,10,cell_104.geojson,kelpwatch_cell_104.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_105,Northern California,37.674251,-122.554807,10,cell_105.geojson,kelpwatch_cell_105.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_106,Northern California,37.676621,-122.441311,10,cell_106.geojson,kelpwatch_cell_106.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_107,Northern California,37.579272,-122.778449,10,cell_107.geojson,kelpwatch_cell_107.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_108,Northern California,37.581854,-122.665104,10,cell_108.geojson,kelpwatch_cell_108.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_109,Northern California,37.584328,-122.551751,10,cell_109.geojson,kelpwatch_cell_109.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_110,Northern California,37.586695,-122.438391,10,cell_110.geojson,kelpwatch_cell_110.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_111,Northern California,37.588955,-122.325024,10,cell_111.geojson,kelpwatch_cell_111.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_112,Northern California,37.491933,-122.661921,10,cell_112.geojson,kelpwatch_cell_112.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_113,Northern California,37.494404,-122.548703,10,cell_113.geojson,kelpwatch_cell_113.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,134,true,true,false,42,12,2003,2025,23032,1072.714286,0,0,60,0,1072.714286,23032,2025,72,,0.067119,134,134,1,0,
cell_114,Northern California,37.496769,-122.435478,10,cell_114.geojson,kelpwatch_cell_114.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,45,true,true,false,42,15,2002,2024,12292,436.904762,0,0,64.25,0,436.904762,12292,2025,0,,0,45,45,1,0,
cell_115,Northern California,37.499026,-122.322247,10,cell_115.geojson,kelpwatch_cell_115.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_116,Northern California,37.402011,-122.658745,10,cell_116.geojson,kelpwatch_cell_116.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_117,Northern California,37.40448,-122.545662,10,cell_117.geojson,kelpwatch_cell_117.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_118,Northern California,37.406841,-122.432573,10,cell_118.geojson,kelpwatch_cell_118.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_119,Northern California,37.409095,-122.319476,10,cell_119.geojson,kelpwatch_cell_119.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_120,Northern California,37.312088,-122.655577,10,cell_120.geojson,kelpwatch_cell_120.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_121,Northern California,37.314553,-122.542629,10,cell_121.geojson,kelpwatch_cell_121.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_122,Northern California,37.316912,-122.429674,10,cell_122.geojson,kelpwatch_cell_122.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_123,Northern California,37.319164,-122.316712,10,cell_123.geojson,kelpwatch_cell_123.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_124,Northern California,37.321308,-122.203743,10,cell_124.geojson,kelpwatch_cell_124.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_125,Northern California,37.224626,-122.539603,10,cell_125.geojson,kelpwatch_cell_125.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_126,Northern California,37.226982,-122.426782,10,cell_126.geojson,kelpwatch_cell_126.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_127,Northern California,37.229231,-122.313954,10,cell_127.geojson,kelpwatch_cell_127.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_128,Northern California,37.231373,-122.20112,10,cell_128.geojson,kelpwatch_cell_128.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_129,Northern California,37.233408,-122.088279,10,cell_129.geojson,kelpwatch_cell_129.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_130,Northern California,37.134697,-122.536583,10,cell_130.geojson,kelpwatch_cell_130.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_131,Northern California,37.13705,-122.423897,10,cell_131.geojson,kelpwatch_cell_131.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,2,true,true,false,42,2,2019,2020,306,11.357143,0,0,0,0,11.357143,306,2025,0,,0,2,2,1,0,
cell_132,Northern California,37.139296,-122.311203,10,cell_132.geojson,kelpwatch_cell_132.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,909,true,true,true,42,42,1984,2025,109205,25398.404762,14544,9051.75,36683.5,9051.75,25398.404762,109205,2025,18788,9736.25,0.739731,908.857143,907,0.999843,0,
cell_133,Northern California,37.141436,-122.198503,10,cell_133.geojson,kelpwatch_cell_133.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_134,Northern California,37.143468,-122.085796,10,cell_134.geojson,kelpwatch_cell_134.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_135,Northern California,37.145394,-121.973084,10,cell_135.geojson,kelpwatch_cell_135.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_136,Northern California,37.047116,-122.421018,10,cell_136.geojson,kelpwatch_cell_136.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_137,Northern California,37.04936,-122.308458,10,cell_137.geojson,kelpwatch_cell_137.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,118,true,true,false,42,24,1988,2024,18523,905.5,40,0,273.5,0,905.5,18523,2025,0,,0,118,118,1,0,
cell_138,Northern California,37.051497,-122.195892,10,cell_138.geojson,kelpwatch_cell_138.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,295,true,true,false,42,38,1984,2024,31597,2752.380952,820,127,2009.25,127,2752.380952,31597,2025,0,-127,0,294.904762,293,0.999677,0,
cell_139,Northern California,37.053527,-122.083319,10,cell_139.geojson,kelpwatch_cell_139.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_140,Northern California,37.05545,-121.970741,10,cell_140.geojson,kelpwatch_cell_140.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_141,Central California,36.959421,-122.30572,10,cell_141.geojson,kelpwatch_cell_141.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_142,Central California,36.961555,-122.193287,10,cell_142.geojson,kelpwatch_cell_142.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,522,true,true,true,42,42,1984,2025,161330,44564.428571,30269,17454,62480,17454,44564.428571,161330,2025,26144,8690,0.586656,521.02381,500,0.99813,0,
cell_143,Central California,36.963583,-122.080848,10,cell_143.geojson,kelpwatch_cell_143.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,2739,true,true,true,42,42,1984,2025,1168440,399781.357143,361793.5,211023.75,535515.75,211023.75,399781.357143,1168440,2025,206080,-4943.75,0.515482,2736.142857,2643,0.998957,0,
cell_144,Central California,36.965504,-121.968403,10,cell_144.geojson,kelpwatch_cell_144.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,2109,true,true,true,42,42,1984,2025,546261,243385.666667,245130.5,161086.75,323907.5,161086.75,243385.666667,546261,2025,156551,-4535.75,0.643222,2108.690476,2096,0.999853,0,
cell_145,Central California,36.967319,-121.855953,10,cell_145.geojson,kelpwatch_cell_145.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_146,Central California,36.86948,-122.302989,10,cell_146.geojson,kelpwatch_cell_146.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_147,Central California,36.871612,-122.190689,10,cell_147.geojson,kelpwatch_cell_147.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_148,Central California,36.873637,-122.078383,10,cell_148.geojson,kelpwatch_cell_148.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_149,Central California,36.875556,-121.966071,10,cell_149.geojson,kelpwatch_cell_149.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_150,Central California,36.877369,-121.853754,10,cell_150.geojson,kelpwatch_cell_150.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_151,Central California,36.781666,-122.188097,10,cell_151.geojson,kelpwatch_cell_151.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
